AssetId,AssetPath
massif_feathered_with_crest_antler_lady_helmet,variantmeshes\helmets\massif_feathered_with_crest_antler_lady_helmet.rigid_model_v2
massif_generic_bascinet_helmet,variantmeshes\helmets\massif_generic_bascinet_helmet.rigid_model_v2
massif_gilded_sallet_crest_guard_closed_helmet,variantmeshes\helmets\massif_gilded_sallet_crest_guard_closed_helmet.rigid_model_v2
massif_gilded_sallet_crest_helmet,variantmeshes\helmets\massif_gilded_sallet_crest_helmet.rigid_model_v2
massif_gilded_sallet_guard_helmet,variantmeshes\helmets\massif_gilded_sallet_guard_helmet.rigid_model_v2
massif_gilded_sallet_guard_helmet_crest_more_feathers,variantmeshes\helmets\massif_gilded_sallet_guard_helmet_crest_more_feathers.rigid_model_v2
massif_gilded_sallet_lordly_padded_helmet,variantmeshes\helmets\massif_gilded_sallet_lordly_padded_helmet.rigid_model_v2
massif_gilded_sallet_lordly_padded_helmet_crown,variantmeshes\helmets\massif_gilded_sallet_lordly_padded_helmet_crown.rigid_model_v2
massif_gilded_bascinet_helmet,variantmeshes\helmets\massif_gilded_bascinet_helmet.rigid_model_v2
massif_gilded_bascinet_pigface_guard_helmet,variantmeshes\helmets\massif_gilded_bascinet_pigface_guard_helmet.rigid_model_v2
massif_great_helmet_feathers_helmet,variantmeshes\helmets\massif_great_helmet_feathers_helmet.rigid_model_v2
massif_great_helmet_grail_helmet,variantmeshes\helmets\massif_great_helmet_grail_helmet.rigid_model_v2
massif_great_helmet_helmet,variantmeshes\helmets\massif_great_helmet_helmet.rigid_model_v2
massif_great_helmet_unicorn_helmet,variantmeshes\helmets\massif_great_helmet_unicorn_helmet.rigid_model_v2
massif_wh_main_anc_armour_helm_of_discord,variantmeshes\helmets\massif_wh_main_anc_armour_helm_of_discord.rigid_model_v2
massif_chainmail_gilded_crest_helmet,variantmeshes\helmets\massif_chainmail_gilded_helmet_with_flaptop_crest_helmet.rigid_model_v2
massif_chainmail_gilded_minor_flaptop_helmet,variantmeshes\helmets\massif_chainmail_gilded_minor_flaptop_helmet.rigid_model_v2
massif_chainmail_helmet_with_flaptop_helmet,variantmeshes\helmets\massif_chainmail_helmet_with_flaptop_helmet.rigid_model_v2
massif_battered_shield,variantmeshes\shields\massif_battered_shield.rigid_model_v2
massif_kite_shield_long,variantmeshes\shields\massif_kite_shield_long.rigid_model_v2
massif_norman_cross_shield,variantmeshes\shields\massif_norman_cross_shield.rigid_model_v2
massif_norman_pattern_1_shield,variantmeshes\shields\massif_norman_pattern_1_shield.rigid_model_v2
massif_norman_pattern_2_shield,variantmeshes\shields\massif_norman_pattern_2_shield.rigid_model_v2
massif_norman_pattern_3_shield,variantmeshes\shields\massif_norman_pattern_3_shield.rigid_model_v2
massif_norman_plain_shield,variantmeshes\shields\massif_norman_plain_shield.rigid_model_v2
massif_norman_reinforced_cross_shield,variantmeshes\shields\massif_norman_reinforced_cross_shield.rigid_model_v2
massif_warhammer_hand_2handed_mace,variantmeshes\weapons\massif_warhammer_hand_2handed_mace.rigid_model_v2
massif_lapis_2handed_mace,variantmeshes\weapons\massif_lapis_2handed_mace.rigid_model_v2
massif_executioner_2handed_axe,variantmeshes\weapons\massif_executioner_2handed_axe.rigid_model_v2
massif_gilded_2handed_mace,variantmeshes\weapons\massif_gilded_2handed_mace.rigid_model_v2
massif_khaine_2handed_axe,variantmeshes\weapons\massif_khaine_2handed_axe.rigid_model_v2
massif_berserker_sword,variantmeshes\weapons\massif_berserker_sword.rigid_model_v2
massif_gold_sigil_sword,variantmeshes\weapons\massif_gold_sigil_sword.rigid_model_v2
massif_generic_items_sword,variantmeshes\weapons\massif_generic_items_sword.rigid_model_v2
massif_sword_of_khaine_1handed,variantmeshes\weapons\massif_sword_of_khaine_1handed.rigid_model_v2
massif_lapis_2handed_mace,variantmeshes\weapons\massif_lapis_2handed_mace.rigid_model_v2
